1.00E-02,9.10E-04,0,0.896,3.7
5.00E-02,9.60E-04,0,0.897,18.5
0.1,9.56E-04,1,0.899,33.8
1,9.46E-04,6.2,0.958,80.86
2,9.42E-04,11.5,1.028,85.01
4.7,9.37E-04,23.6,1.18,87.54
8,9.34E-04,34.9,1.35,88.36
10,9.32E-04,40.5,1.45,88.58
20,9.27E-04,60,1.94,89.05
50,9.21E-04,77,3.8,89.26
100,9.18E-04,69,8.4,89.17
300,9.32E-04,42.3,42,88.65
600,1.00E-03,33.5,113,88.29
900,1.18E-03,28.2,237,87.95
1000,1.28E-03,26,310,87.76
1500,2.80E-03,10.6,2.49E+03,84.59
1600,3.96E-03,7.2,5.55E+03,82.08
1700,6.95E-03,3.8,1.98E+04,75.15
1800,8.80E-03,0,2.67E+05,20.5
1820,-7.70E-03,0,2.78E+05,-17.5
1900,-7.86E-03,3,3.17E+04,-71
2000,-3.92E-03,6.2,7.97E+03,-80.8
5000,-3.42E-04,56.8,7.40E+01,-88.99
8000,-4.82E-05,67.5,3.60E+01,-89.15
10000,-3.04E-05,69.3,2.80E+01,-89.17
